id,created_at,text,length,source,favorites,RT
986680774370836485,2018-04-18 19:00:02,"b""Scotland have a new women's captain - @Kathryn_Bryce! \xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb3\xf3\xa0\x81\xa3\xf3\xa0\x81\xb4\xf3\xa0\x81\xbf\n\nHere's one thing she's bringing to the role - her ce\xe2\x80\xa6 https://t.co/DmFODHIWqn""",140,Media Studio,398,31
986665683315503104,2018-04-18 18:00:04,b'Yesterday @westindies announced their squad for the hurricane relief T20I against an ICC World XI at the\xe2\x80\xa6 https://t.co/LWdNh5W7d4',129,Media Studio,354,27
986651068493840384,2018-04-18 17:02:00,"b'Happy 10th birthday to the @IPL! \xf0\x9f\x8e\x82\n\nTo celebrate, we take a look back at 10 of the most thrilling moments of the pa\xe2\x80\xa6 https://t.co/U5dhjeR5cA'",140,TweetDeck,3470,281
986635484993646593,2018-04-18 16:00:05,b'Happy birthday to @klrahul11! Did you know he shares the record for the most consecutive Test fifties?\n\nSir Everton\xe2\x80\xa6 https://t.co/Fn1lBjwYxP',140,TweetDeck,1975,147
986620368164077569,2018-04-18 15:00:00,"b'A former West Indies all-rounder who played 169 international matches, after eight years with Ireland he coached Wi\xe2\x80\xa6 https://t.co/MYALabO5ll'",140,TweetDeck,402,24
986604009048944641,2018-04-18 13:55:00,"b""Nepal's @paras77 - inspiring the next generation of youngsters to pick up whatever they can to play cricket! \xf0\x9f\x87\xb3\xf0\x9f\x87\xb5\xe2\x80\xa6 https://t.co/XolyctP2BF""",136,TweetDeck,2950,865
986599480014376960,2018-04-18 13:37:00,b'\xf0\x9f\x99\x8b https://t.co/n2HzcY1Smx',25,TweetDeck,363,23
986590176829833217,2018-04-18 13:00:02,"b'One of the finest pace bowlers of all time, he claimed 376 Test wickets and 157 in ODIs for the West Indies.\xe2\x80\xa6 https://t.co/RHTIu7NsRY'",133,TweetDeck,814,87
986584391433453573,2018-04-18 12:37:03,"b""Congratulations to @Kathryn_Bryce who has been named Scotland Women's new captain! @WildcatsCricket \xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb3\xf3\xa0\x81\xa3\xf3\xa0\x81\xb4\xf3\xa0\x81\xbf\xe2\x80\xa6 https://t.co/oLMVpcNPw7""",132,TweetDeck,384,27
986559212653182976,2018-04-18 10:57:00,b'England opener @mark23stone is keen to pick the brains of new Surrey team-mate @deanelgar as he looks to improve on\xe2\x80\xa6 https://t.co/DpmxOTNBwq',140,TweetDeck,372,20
